lantern	[ˈlæntən] n. 灯笼；提灯
firework	[ˈfaɪəwɜ:k] n. 烟火；烟花；[pl.] 烟花表演
frank	[fræŋk] adj. 坦率的；直率的
except	[ɪkˈsept] for  除……之外
inner	[ˈɪnə(r)] adj. 内部的；里面的；内心的
autonomous	[ɔ:ˈtɒnəməs] adj. 自治的；有自治权的
region	[ˈri:dʒən] n. 地区；区域；地带
represent	[ˌreprɪˈzent] vt. 象征；代表；相当于
wrestling	[ˈreslɪŋ] n. 摔跤运动
wrestler	[ˈreslə(r)] n. 摔跤运动员
archery	[ˈɑ:tʃəri] n. 射箭术；射箭运动
fancy	[ˈfænsi] adj. 花哨的；精致的；昂贵的 vt. 想要；倾慕；自认为是
robe	[rəʊb] n. 袍服；礼袍
eagle	[ˈi:gl] n. 雕
grace	[greɪs] n. 优美；优雅；高雅
absolutely	[ˈæbsəlu:tli] adv. 绝对地；完全地
moment	[ˈməʊmənt] n. 片刻；瞬间
tent	[tent] n. 帐篷
pot	[pɒt] n. 罐；壶；锅
brief	[bri:f] adj. 简洁的；简单的；短暂的
branch	[brɑ:ntʃ] n. 树枝；分支；支流
wedding	[ˈwedɪŋ] n. 婚礼；结婚庆典
clap	[klæp] vt. 鼓掌；拍手；击掌 n. 鼓掌；拍手；掌声
respect	[rɪˈspekt] n. & vt. 尊敬；尊重
horrible	[ˈhɒrəbl] adj. 令人震惊的；恐怖的；极坏的
costume	[ˈkɒstju:m]n. （某地或某历史时期的）服装；戏装
dress	(sb) up  穿上盛装；装扮
make-up	n. 化妆品；性格；构成方式
after all	毕竟；别忘了
range from	... to ...  包括从……到……之间
fade away	逐渐消失；（身体）变得虚弱
in	spite [spaɪt] of  不管；尽管
have sth in common	（兴趣、想法等方面）相同；有相同的特征
carol	[ˈkærəl]  圣诞颂歌
potatoes	土豆泥
roast turkey	烤火鸡肉
to be frank	坦白说；坦率的说
go off	爆炸；走火；离开
for	除……之外
wrestle	vi. & vt. 摔跤；奋力对付
set off	出发；动身；启程
